Employee_ID,Age,Gender,Department,Years_at_Company,Monthly_Salary,Education_Level,Num_Trainings,Work_Life_Balance,Job_Satisfaction,Attrition,Performance_Rating
1001,50,Male,HR,22,164921.03,1,10,4,3,No,4.16
1002,36,Female,Admin,29,44632.13,2,7,1,5,No,2.37
1003,29,Male,Admin,10,32549.5,2,8,4,3,No,2.91
1004,42,Female,IT,4,180812.85,1,3,3,2,No,1.38
1005,40,Male,R&D,21,89810.17,2,6,1,3,No,1.75
1006,44,Female,Finance,25,71818.34,4,10,2,3,No,2.73
1007,32,Female,R&D,3,150445.33,5,6,4,5,No,1.8
1008,32,Female,IT,28,170554.81,3,1,1,1,No,1.28
1009,45,Female,Admin,11,175248.13,2,6,1,4,No,1.08
1010,57,Female,R&D,1,76879.49,2,3,3,3,No,1.82
1011,45,Female,R&D,12,173398.23,3,3,3,4,No,2.56
1012,24,Male,Admin,9,27368.11,2,3,4,3,No,1.74
1013,43,Female,IT,8,28939.07,3,10,2,5,No,3.06
1014,23,Male,Admin,9,132233.46,1,10,1,5,No,1.82
1015,45,Male,HR,30,31359.15,4,8,3,3,No,3.64
1016,51,Female,Finance,6,78429.65,4,5,4,5,No,2.66
1017,59,Male,Admin,3,141096.08,5,4,3,5,No,1.91
1018,23,Female,IT,18,80708.04,2,9,4,3,No,2.54
1019,42,Male,Sales,9,52327.96,5,9,3,1,No,1
1020,54,Female,HR,29,70643.11,1,1,2,3,No,2.86
1021,33,Male,Sales,30,102363.56,4,2,1,1,No,2.02
1022,43,Female,Admin,2,105569.45,1,8,3,5,No,2.46
1023,46,Female,HR,24,160940.04,1,5,1,1,No,2.14
1024,48,Female,Finance,20,155027.58,2,7,4,5,No,3.36
1025,49,Female,Admin,28,102227.2,1,1,2,1,No,1.36
1026,37,Male,Finance,30,172220.12,4,10,1,1,No,2.47
1027,36,Female,R&D,18,40562.68,5,5,3,3,No,2.41
1028,24,Male,Sales,30,65963.6,4,3,1,1,No,1.05
1029,58,Male,HR,20,169035.76,2,10,1,5,No,2.85
1030,28,Male,Finance,1,88038.93,4,2,4,3,No,1.94
1031,42,Female,IT,26,196612.68,3,2,2,1,No,1.82
